,Country,Deaths,E,F,H,I,OnsetCases,R,S
0,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441790.0
1,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441790.0
2,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441641.0
3,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441660.0
4,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442146.5
5,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442011.0
6,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442255.0
7,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442322.0
8,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442417.5
9,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442246.0
10,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442211.5
11,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442798.5
12,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442832.0
13,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443162.0
14,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442963.5
15,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442985.0
16,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442540.5
17,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443101.0
18,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443071.5
19,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443230.0
20,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442980.5
21,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442697.0
22,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442959.5
23,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443119.5
24,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443096.0
25,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443147.0
26,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443117.5
27,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443194.0
28,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442732.5
29,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442897.5
30,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442724.0
31,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442977.5
32,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442458.5
33,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442210.0
34,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441958.0
35,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442169.5
36,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442144.0
37,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441911.0
38,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442078.0
39,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441788.5
40,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442266.0
41,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442205.5
42,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442496.5
43,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442725.0
44,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442116.0
45,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442076.0
46,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442225.0
47,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441899.0
48,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441875.5
49,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441850.5
50,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441969.5
51,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442281.0
52,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442607.0
53,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442692.5
54,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442084.5
55,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442188.0
56,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441944.0
57,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442223.5
58,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442351.5
59,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442317.0
60,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442015.0
61,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442365.5
62,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442440.0
63,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442467.0
64,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442731.5
65,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442502.0
66,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442321.0
67,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442127.0
68,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441862.0
69,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441763.0
70,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441581.5
71,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441581.0
72,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441135.5
73,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441066.0
74,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440560.0
75,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441208.5
76,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440221.5
77,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440357.5
78,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440717.0
79,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440330.5
80,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440591.0
81,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440474.5
82,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440360.0
83,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440145.5
84,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440651.5
85,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440534.5
86,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440592.5
87,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441042.5
88,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440635.0
89,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440547.5
90,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440902.5
91,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440757.0
92,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440400.0
93,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441006.0
94,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440641.5
95,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440890.5
96,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440735.0
97,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440696.0
98,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441064.0
99,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441233.5
100,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440916.5
101,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440577.5
102,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440652.5
103,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440135.5
104,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440813.0
105,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441148.5
106,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441286.5
107,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441481.5
108,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441148.0
109,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441545.0
110,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441287.0
111,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440987.5
112,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441035.0
113,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440864.5
114,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441112.5
115,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440863.5
116,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441013.0
117,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440979.0
118,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440505.0
119,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440634.5
120,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440751.5
121,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440339.0
122,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440164.5
123,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439942.0
124,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439906.0
125,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439263.0
126,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439085.5
127,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439616.0
128,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440020.5
129,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439797.5
130,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439786.0
131,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440046.5
132,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440128.5
133,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440205.0
134,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439606.5
135,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440101.5
136,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440106.5
137,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440270.5
138,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440588.0
139,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440863.0
140,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440261.0
141,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440412.5
142,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439808.5
143,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439297.5
144,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3438902.5
145,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439415.0
146,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439802.5
147,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439943.5
148,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439811.0
149,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439826.5
150,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439859.5
151,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439626.0
152,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440304.0
153,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440356.5
154,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439971.0
155,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440411.0
156,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439920.5
157,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439799.5
158,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439905.5
159,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439838.0
160,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439166.5
161,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3438991.5
162,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439545.5
163,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439479.0
164,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439731.0
165,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439831.5
166,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439623.5
167,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439128.5
168,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439463.0
169,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440203.5
170,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440656.0
171,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440679.5
172,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440543.5
173,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440842.0
174,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440345.5
175,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439912.5
176,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439955.5
177,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440020.0
178,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440182.0
179,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439634.5
180,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439644.5
181,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440053.0
182,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440053.0
183,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440231.5
184,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440945.0
185,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440983.0
186,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441170.0
187,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441008.0
188,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441254.5
189,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440521.5
190,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440216.5
191,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440142.5
192,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439977.0
193,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439657.5
194,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440140.5
195,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440388.0
196,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439974.0
197,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439710.0
198,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439836.5
199,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439464.5
200,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439373.5
201,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439446.0
202,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439444.5
203,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439627.5
204,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6438951.0
205,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439229.5
206,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6438828.0
207,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6438943.5
208,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6438713.0
