,Country,Deaths,E,F,H,I,OnsetCases,R,S
0,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.71782079359116
3,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.5088014401009
4,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.589103967956
5,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.1549416771886
6,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.78888860545663
7,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.86143571373726
8,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.4213562373095
9,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.10616844190963
10,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.4728342582795
11,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.9158723275375
12,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.46655813512032
13,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.2878425849301
14,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.72853480599576
15,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.5992052357225
16,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586.040510201426
17,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1817.9715344306137
18,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.304832720494
19,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.6982310026957
20,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.9280656363574
21,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.04224330498056
22,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.22034611053283
23,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.0687219636732
24,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.8519471906085
25,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.42344827836257
26,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0895372438445
27,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.1067811865476
28,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0472939388639
29,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579.6765491707472
30,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.0134187980956
31,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.752054871858
32,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.1296885077719
33,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.4936495384508
34,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.6179284748407
35,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0169901355638
36,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.37467504308356
37,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.2691193458119
38,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.7449121969216
39,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968.0291834443835
40,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1688.5709934734755
41,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.7972567696688
42,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.6336931211287
43,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.9078631008239
44,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.890872965260115
45,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.08326112068523
46,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.50818869546293
47,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.73210614346397
48,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.636651713959
49,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.89148570989806
50,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.66608896548183
51,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.8010819142764
52,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.2150416695101
53,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.1971849821691
54,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.6429278371181
55,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.4297244015218
56,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2128.391411371508
57,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1725.340546095176
58,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281.277487510024
59,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.1555544218265
60,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.368757857423
61,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.9682169002848
62,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0398974567881
63,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.510893481154
64,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.0277041479685
65,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1688.5709934734755
66,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.4933957313115
67,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595.2328983568511
68,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0116856945413
69,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2738.6245635354985
70,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2759.1306601899087
71,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3223.69981542947
72,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2882.167240116368
73,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3404.0120446320398
74,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3355.9287835113546
75,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3470.480082063575
76,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2444.4681425618946
77,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2881.460133335181
78,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3350.979036043049
79,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3237.1348442720146
80,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2981.1621894824843
81,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2798.728639936355
82,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2428.204686594604
83,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3103.4916626277573
84,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3159.3530983414944
85,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2306.5823202305182
86,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2114.956382528964
87,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961.5142110114828
88,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.4347750354051
