,Country,Deaths,E,F,H,I,OnsetCases,R,S
0,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.1843789287115
3,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258.6500705120545
4,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1298.9551570396877
5,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.8718959190026
6,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289.0556621030762
7,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.8382745853736
8,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.7312395916867
9,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.5028842544402
10,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.8037866999674
11,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.1971849821691
12,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105.2078989945737
13,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.7089450151004
14,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1219.7591975467944
15,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.3523804664971
16,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.5718600252528
17,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.5453813665602
18,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.9934700697015
19,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.8950570473662
20,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.8082245892128
21,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.5489527040284
22,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1793282948281
23,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.32651455244246
24,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648.2659069458423
25,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511.7942981768385
26,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.3185053257288
27,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.59144981614816
28,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.142135623730951
29,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.58787847867995
30,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.82694782833104
31,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.27564927611035
32,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.70414818835627
33,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.96255352176354
34,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.7220048756973
35,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324.4110011624034
36,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237.4368670764582
37,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.9057710597708
38,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0910165402596
39,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.973880278806
40,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.4454890478098
41,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1827.1639225860388
42,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1269.9637790110394
43,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1837.770524303837
44,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1739.4826817189069
45,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.1755031502207
46,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384.51507756326
47,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.244478921033
48,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135.4624791833735
49,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.626296639053
50,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.4957415795038
51,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.9938290072002
52,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1866.7619023324855
53,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.6937931134503
54,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.5445148147828
55,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0565286548533
56,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.2590180780452
57,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.012193308819754
58,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0035713374682
59,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.46150750123695
60,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5355339059327378
61,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.652416360247
62,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.51176003293114
63,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.6595590351834
64,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.9581156325181
65,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33452377915607
66,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.85133444597056
67,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.9301576774104
68,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.87572106361006
69,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.41987694089437
70,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.16295090390226
71,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842.1641763931781
72,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.8073580374356
73,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.1002512562491
74,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.7297602952717
75,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1161.7764414894975
76,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.3521266593577
77,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.559666716433
78,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.8992411294723
79,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.3723291948912
80,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.5180361560904
81,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.7936854322006
82,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.9307704220482
83,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1414.213562373095
84,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.5655839020935
85,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.8159800087872
86,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.7829714197961
87,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.9007204258875
88,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191.4749262993325
